Date,USD,JPY
22-12-2023,1.1023,156.66
21-12-2023,1.0983,156.79
20-12-2023,1.0944,157.12
19-12-2023,1.0962,158.2
18-12-2023,1.0918,155.95
15-12-2023,1.0946,155.15
14-12-2023,1.0919,154.8
13-12-2023,1.0787,157.13
12-12-2023,1.0804,156.84
11-12-2023,1.0757,157.54
08-12-2023,1.0777,155.53
07-12-2023,1.0771,156.18
06-12-2023,1.0778,158.7
05-12-2023,1.0817,159.13
04-12-2023,1.0868,159.47
01-12-2023,1.0875,161.14
30-11-2023,1.0931,161.19
29-11-2023,1.0985,162.12
28-11-2023,1.0949,162.74
27-11-2023,1.0951,162.86
24-11-2023,1.0916,163.3
23-11-2023,1.09,162.98
22-11-2023,1.0911,162.25
21-11-2023,1.0955,161.61
20-11-2023,1.0928,162.12
17-11-2023,1.0872,162.29
16-11-2023,1.0849,164.05
15-11-2023,1.0868,163.39
14-11-2023,1.0724,162.67
13-11-2023,1.067,161.96
10-11-2023,1.0683,161.77
09-11-2023,1.0691,161.57
08-11-2023,1.0671,160.97
07-11-2023,1.0686,160.77
06-11-2023,1.0741,160.87
03-11-2023,1.0702,159.87
02-11-2023,1.0661,159.89
01-11-2023,1.0537,159.33
31-10-2023,1.0619,160.3
30-10-2023,1.0605,158.8
27-10-2023,1.0541,158.08
26-10-2023,1.054,158.48
25-10-2023,1.0576,158.55
24-10-2023,1.0632,159.26
23-10-2023,1.0597,158.91
20-10-2023,1.0591,158.8
19-10-2023,1.0558,158.21
18-10-2023,1.0565,158.1
17-10-2023,1.0569,158.03
16-10-2023,1.0538,157.54
13-10-2023,1.0524,157.44
12-10-2023,1.0619,158.35
11-10-2023,1.0604,157.87
10-10-2023,1.0582,157.71
09-10-2023,1.0531,157.06
06-10-2023,1.0563,157.47
05-10-2023,1.0526,156.71
04-10-2023,1.0497,156.48
03-10-2023,1.0469,157.01
02-10-2023,1.053,157.67
29-09-2023,1.0594,158.1
28-09-2023,1.0539,157.33
27-09-2023,1.0536,157.2
26-09-2023,1.0605,157.87
25-09-2023,1.0633,158.08
22-09-2023,1.0647,157.87
21-09-2023,1.0635,157.34
20-09-2023,1.0702,158.28
19-09-2023,1.0713,158.2
18-09-2023,1.0663,157.44
15-09-2023,1.0658,157.5
14-09-2023,1.073,158.13
13-09-2023,1.0733,158.28
12-09-2023,1.0713,157.42
11-09-2023,1.0724,157.16
